position,team,nation,time,minutes
1,CUS PRO PATRIA,ITA,0:20:48,20.8
2,INDIVIDUALE,ITA,0:21:04,21.07
3,INDIVIDUALE,ITA,0:21:22,21.37
4,INDIVIDUALE,ETH,0:22:05,22.08
5,INDIVIDUALE,BLR,0:22:27,22.45
6,CUS PRO PATRIA,ITA,0:22:32,22.53
7,CUS PRO PATRIA,ITA,0:23:12,23.2
8,INDIVIDUALE,ITA,0:23:12,23.2
9,INDIVIDUALE,ITA,0:23:34,23.57
10,CUS PRO PATRIA,ITA,0:24:25,24.42
11,INDIVIDUALE,ITA,0:24:36,24.6
12,INDIVIDUALE,ITA,0:25:16,25.27
13,CUS PRO PATRIA,ITA,0:25:31,25.52
14,CUS PRO PATRIA,ITA,0:25:38,25.63
15,INDIVIDUALE,ITA,0:25:41,25.68
16,SANCARLO,ITA,0:25:44,25.73
17,INDIVIDUALE,ITA,0:25:44,25.73
18,INDIVIDUALE,ITA,0:25:52,25.87
19,INDIVIDUALE,ITA,0:25:56,25.93
20,INDIVIDUALE,ITA,0:25:59,25.98
21,INDIVIDUALE,ITA,0:26:26,26.43
22,INDIVIDUALE,ITA,0:26:29,26.48
23,INDIVIDUALE,ITA,0:26:54,26.9
24,PWC,ITA,0:27:03,27.05
25,PWC,ITA,0:27:31,27.52
26,INDIVIDUALE,ITA,0:27:40,27.67
27,OFC,ITA,0:27:54,27.9
28,INDIVIDUALE,ITA,0:28:10,28.17
29,INDIVIDUALE,ITA,0:28:12,28.2
30,INDIVIDUALE,ITA,0:28:15,28.25
31,INDIVIDUALE,ITA,0:28:15,28.25
32,INDIVIDUALE,ALB,0:28:24,28.4
33,INDIVIDUALE,ITA,0:28:27,28.45
34,MILANO,ITA,0:28:29,28.48
35,INDIVIDUALE,ITA,0:28:33,28.55
36,INDIVIDUALE,ITA,0:28:38,28.63
37,INDIVIDUALE,ITA,0:29:01,29.02
38,INDIVIDUALE,ITA,0:29:03,29.05
39,INDIVIDUALE,ITA,0:29:03,29.05
40,INDIVIDUALE,ITA,0:29:11,29.18
41,INDIVIDUALE,ITA,0:29:19,29.32
42,INDIVIDUALE,ITA,0:29:28,29.47
43,INDIVIDUALE,ITA,0:29:36,29.6
44,INDIVIDUALE,ITA,0:29:36,29.6
45,INDIVIDUALE,ITA,0:29:43,29.72
46,INDIVIDUALE,ITA,0:29:54,29.9
47,INDIVIDUALE,ITA,0:29:57,29.95
48,TEAMOFC,ITA,0:30:04,30.07
49,INDIVIDUALE,ITA,0:30:06,30.1
50,INDIVIDUALE,ITA,0:30:06,30.1
51,INDIVIDUALE,ITA,0:30:06,30.1
52,INDIVIDUALE,ITA,0:30:18,30.3
53,INDIVIDUALE,ITA,0:30:20,30.33
54,INDIVIDUALE,ITA,0:30:47,30.78
55,INDIVIDUALE,ITA,0:30:52,30.87
56,INDIVIDUALE,ITA,0:30:54,30.9
57,INDIVIDUALE,ITA,0:30:58,30.97
58,GEOTEAM-U4,ITA,0:31:08,31.13
59,INDIVIDUALE,ITA,0:31:09,31.15
60,INDIVIDUALE,ITA,0:31:16,31.27
61,INDIVIDUALE,ITA,0:31:17,31.28
62,INDIVIDUALE,ITA,0:31:18,31.3
63,INDIVIDUALE,ITA,0:31:20,31.33
64,INDIVIDUALE,POL,0:31:25,31.42
65,INDIVIDUALE,ITA,0:31:31,31.52
66,INDIVIDUALE,ITA,0:31:33,31.55
67,INDIVIDUALE,ITA,0:31:52,31.87
68,INDIVIDUALE,ITA,0:31:55,31.92
69,INDIVIDUALE,ITA,0:31:59,31.98
70,INDIVIDUALE,ITA,0:32:00,32.0
71,CUS PRO PATRIA,ITA,0:32:01,32.02
72,INDIVIDUALE,ITA,0:32:01,32.02
73,INDIVIDUALE,ITA,0:32:04,32.07
74,INDIVIDUALE,ITA,0:32:11,32.18
75,TEAM RISATA SERENA,ITA,0:32:12,32.2
76,INDIVIDUALE,ITA,0:32:13,32.22
