position,team,nation,time,minutes
77,GEOTEAM,ITA,0:32:14,32.23
78,PWC,ITA,0:32:22,32.37
79,INDIVIDUALE,ITA,0:32:23,32.38
80,PWC,ITA,0:32:23,32.38
81,INDIVIDUALE,ITA,0:32:25,32.42
82,INDIVIDUALE,ITA,0:32:28,32.47
83,INDIVIDUALE,ITA,0:32:34,32.57
84,INDIVIDUALE,ITA,0:32:46,32.77
85,GEOTEAM-U4,ITA,0:32:47,32.78
86,INDIVIDUALE,ITA,0:32:50,32.83
87,INDIVIDUALE,ITA,0:32:53,32.88
88,TEAM RISATA SERENA,ITA,0:32:58,32.97
89,INDIVIDUALE,ITA,0:33:06,33.1
90,INDIVIDUALE,BRA,0:33:08,33.13
91,INDIVIDUALE,ITA,0:33:10,33.17
92,INDIVIDUALE,ITA,0:33:11,33.18
93,INDIVIDUALE,ITA,0:33:18,33.3
94,INDIVIDUALE,ITA,0:33:19,33.32
95,INDIVIDUALE,ITA,0:33:20,33.33
96,INDIVIDUALE,ITA,0:33:28,33.47
97,INDIVIDUALE,ITA,0:33:31,33.52
98,INDIVIDUALE,ITA,0:33:33,33.55
99,INDIVIDUALE,ITA,0:33:34,33.57
100,DXC,ITA,0:33:35,33.58
101,GEOTEAM-U4,ITA,0:33:36,33.6
102,INDIVIDUALE,ITA,0:33:45,33.75
103,INDIVIDUALE,ITA,0:33:50,33.83
104,INDIVIDUALE,ITA,0:33:57,33.95
105,INDIVIDUALE,ITA,0:34:00,34.0
106,INDIVIDUALE,ITA,0:34:00,34.0
107,INDIVIDUALE,ITA,0:34:02,34.03
108,INDIVIDUALE,ITA,0:34:02,34.03
109,TEAM RISATA SERENA,ITA,0:34:09,34.15
110,INDIVIDUALE,ITA,0:34:12,34.2
111,INDIVIDUALE,ITA,0:34:17,34.28
112,INDIVIDUALE,ITA,0:34:20,34.33
113,INDIVIDUALE,ITA,0:34:21,34.35
114,INDIVIDUALE,ITA,0:34:24,34.4
115,INDIVIDUALE,ITA,0:34:38,34.63
116,INDIVIDUALE,ITA,0:34:39,34.65
117,INDIVIDUALE,ITA,0:34:40,34.67
118,INDIVIDUALE,ITA,0:34:57,34.95
119,INDIVIDUALE,ITA,0:34:59,34.98
120,PWC,ITA,0:35:03,35.05
121,INDIVIDUALE,ITA,0:35:16,35.27
122,INDIVIDUALE,ITA,0:35:17,35.28
123,INDIVIDUALE,ITA,0:35:21,35.35
124,INDIVIDUALE,ITA,0:35:26,35.43
125,INDIVIDUALE,ITA,0:35:26,35.43
126,PWC,ITA,0:35:27,35.45
127,INDIVIDUALE,ITA,0:35:39,35.65
128,INDIVIDUALE,ITA,0:35:39,35.65
129,FLORIDA TENDE,ITA,0:35:41,35.68
130,FLORIDA TENDE,ITA,0:35:41,35.68
131,INDIVIDUALE,ITA,0:35:46,35.77
132,INDIVIDUALE,ITA,0:36:06,36.1
133,INDIVIDUALE,ITA,0:36:13,36.22
134,INDIVIDUALE,ITA,0:36:13,36.22
135,INDIVIDUALE,ITA,0:36:15,36.25
136,INDIVIDUALE,ITA,0:36:22,36.37
137,INDIVIDUALE,ITA,0:36:24,36.4
138,INDIVIDUALE,ITA,0:36:28,36.47
139,INDIVIDUALE,ITA,0:36:29,36.48
140,INDIVIDUALE,ITA,0:36:31,36.52
141,INDIVIDUALE,ITA,0:36:31,36.52
142,INDIVIDUALE,ITA,0:36:32,36.53
143,INDIVIDUALE,ITA,0:36:46,36.77
144,INDIVIDUALE,ITA,0:36:51,36.85
145,INDIVIDUALE,ITA,0:36:51,36.85
146,INDIVIDUALE,ITA,0:36:51,36.85
147,INDIVIDUALE,ITA,0:36:51,36.85
148,INDIVIDUALE,ITA,0:36:59,36.98
149,INDIVIDUALE,ITA,0:37:01,37.02
150,INDIVIDUALE,ITA,0:37:10,37.17
151,INDIVIDUALE,ITA,0:37:13,37.22
152,INDIVIDUALE,ITA,0:37:14,37.23
153,INDIVIDUALE,ITA,0:37:14,37.23
154,INDIVIDUALE,ITA,0:37:18,37.3
155,INDIVIDUALE,ITA,0:37:20,37.33
156,DXC,ITA,0:37:20,37.33
157,PWC,ITA,0:37:30,37.5
158,INDIVIDUALE,ITA,0:37:33,37.55
159,INDIVIDUALE,ITA,0:37:33,37.55
160,INDIVIDUALE,ITA,0:37:39,37.65
161,INDIVIDUALE,ITA,0:37:40,37.67
162,GEOTEAM-U4,ITA,0:37:40,37.67
163,GEOTEAM-U4,ITA,0:37:40,37.67
164,INDIVIDUALE,ITA,0:37:40,37.67
165,INDIVIDUALE,ITA,0:37:41,37.68
166,INDIVIDUALE,ITA,0:37:45,37.75
167,CUS PRO PATRIA,ITA,0:37:55,37.92
168,INDIVIDUALE,ITA,0:37:55,37.92
169,INDIVIDUALE,ITA,0:38:00,38.0
170,INDIVIDUALE,ITA,0:38:03,38.05
171,INDIVIDUALE,ITA,0:38:04,38.07
172,INDIVIDUALE,ITA,0:38:08,38.13
173,INDIVIDUALE,ITA,0:38:08,38.13
174,INDIVIDUALE,ITA,0:38:09,38.15
175,INDIVIDUALE,ITA,0:38:10,38.17
176,INDIVIDUALE,ITA,0:38:22,38.37
177,INDIVIDUALE,ITA,0:38:27,38.45
178,INDIVIDUALE,ITA,0:38:36,38.6
179,INDIVIDUALE,ITA,0:38:36,38.6
180,INDIVIDUALE,ITA,0:38:36,38.6
181,INDIVIDUALE,ITA,0:38:47,38.78
182,INDIVIDUALE,ITA,0:38:55,38.92
183,LE GIOVANI DEL CUS,ITA,0:38:57,38.95
184,INDIVIDUALE,ITA,0:39:02,39.03
185,LE GIOVANI DEL CUS,ITA,0:39:03,39.05
186,INDIVIDUALE,ITA,0:39:06,39.1
187,INDIVIDUALE,ITA,0:39:09,39.15
188,INDIVIDUALE,ITA,0:39:12,39.2
189,INDIVIDUALE,ITA,0:39:16,39.27
190,LE GIOVANI DEL CUS,ITA,0:39:27,39.45
191,INDIVIDUALE,ITA,0:39:48,39.8
192,INDIVIDUALE,ITA,0:39:56,39.93
193,INDIVIDUALE,ITA,0:39:56,39.93
194,INDIVIDUALE,ALB,0:40:11,40.18
195,INDIVIDUALE,ITA,0:40:11,40.18
196,GEOTEAM-U4,ITA,0:40:11,40.18
197,INDIVIDUALE,ITA,0:40:14,40.23
198,INDIVIDUALE,JOR,0:40:35,40.58
199,INDIVIDUALE,ITA,0:40:42,40.7
200,GEOTEAM-U4,ITA,0:40:43,40.72
201,GEOTEAM-U4,ITA,0:40:44,40.73
202,INDIVIDUALE,ITA,0:40:47,40.78
203,INDIVIDUALE,ITA,0:41:34,41.57
204,INDIVIDUALE,ITA,0:41:35,41.58
205,INDIVIDUALE,ITA,0:42:04,42.07
206,INDIVIDUALE,ECU,0:42:06,42.1
207,INDIVIDUALE,ITA,0:42:19,42.32
208,INDIVIDUALE,ITA,0:42:34,42.57
209,INDIVIDUALE,ITA,0:42:48,42.8
210,INDIVIDUALE,ITA,0:42:48,42.8
211,INDIVIDUALE,ITA,0:42:48,42.8
212,INDIVIDUALE,ITA,0:42:56,42.93
213,INDIVIDUALE,ITA,0:42:56,42.93
214,INDIVIDUALE,ITA,0:43:12,43.2
215,INDIVIDUALE,ITA,0:43:12,43.2
216,INDIVIDUALE,ITA,0:43:19,43.32
217,INDIVIDUALE,ITA,0:43:20,43.33
218,INDIVIDUALE,ITA,0:43:28,43.47
219,INDIVIDUALE,ITA,0:43:29,43.48
220,INDIVIDUALE,ITA,0:43:30,43.5
221,INDIVIDUALE,ITA,0:43:35,43.58
222,INDIVIDUALE,ITA,0:43:42,43.7
223,INDIVIDUALE,ITA,0:43:51,43.85
224,INDIVIDUALE,ITA,0:44:09,44.15
225,INDIVIDUALE,ITA,0:44:09,44.15
226,INDIVIDUALE,ITA,0:44:16,44.27
227,INDIVIDUALE,ITA,0:44:20,44.33
228,INDIVIDUALE,ITA,0:44:25,44.42
229,INDIVIDUALE,ITA,0:44:26,44.43
230,INDIVIDUALE,ITA,0:44:28,44.47
231,INDIVIDUALE,ITA,0:45:13,45.22
232,INDIVIDUALE,ITA,0:45:13,45.22
233,INDIVIDUALE,ITA,0:45:22,45.37
234,INDIVIDUALE,ITA,0:45:23,45.38
235,INDIVIDUALE,ITA,0:45:25,45.42
236,INDIVIDUALE,ITA,0:45:26,45.43
237,INDIVIDUALE,ITA,0:45:32,45.53
238,INDIVIDUALE,ITA,0:45:35,45.58
239,INDIVIDUALE,ITA,0:45:38,45.63
240,INDIVIDUALE,ITA,0:45:39,45.65
241,INDIVIDUALE,ITA,0:45:41,45.68
242,INDIVIDUALE,ITA,0:45:43,45.72
243,INDIVIDUALE,CGO,0:45:45,45.75
244,INDIVIDUALE,ROM,0:45:46,45.77
245,INDIVIDUALE,ITA,0:45:52,45.87
246,INDIVIDUALE,ITA,0:46:17,46.28
247,INDIVIDUALE,ITA,0:46:19,46.32
248,INDIVIDUALE,ITA,0:46:21,46.35
249,INDIVIDUALE,ITA,0:46:23,46.38
250,INDIVIDUALE,ITA,0:46:23,46.38
251,INDIVIDUALE,ITA,0:46:23,46.38
252,INDIVIDUALE,ITA,0:46:24,46.4
253,COMITATO BICOCCA,ITA,0:46:28,46.47
254,INDIVIDUALE,ITA,0:46:31,46.52
255,INDIVIDUALE,ITA,0:46:37,46.62
256,SEGRATE,ITA,0:46:37,46.62
257,INDIVIDUALE,ITA,0:46:47,46.78
258,INDIVIDUALE,ITA,0:46:50,46.83
259,INDIVIDUALE,ITA,0:46:53,46.88
260,INDIVIDUALE,ITA,0:46:57,46.95
261,INDIVIDUALE,ITA,0:47:02,47.03
262,INDIVIDUALE,ITA,0:47:38,47.63
263,INDIVIDUALE,ITA,0:47:38,47.63
264,INDIVIDUALE,ITA,0:48:12,48.2
265,COME CANE E GATTO,ITA,0:48:22,48.37
266,COME CANE E GATTO,ITA,0:48:22,48.37
267,INDIVIDUALE,ITA,0:49:00,49.0
268,PWC,ITA,0:49:01,49.02
269,DXC,ITA,0:49:08,49.13
270,INDIVIDUALE,ITA,0:49:08,49.13
271,INDIVIDUALE,ITA,0:49:18,49.3
272,INDIVIDUALE,ITA,0:49:45,49.75
273,INDIVIDUALE,ITA,0:49:49,49.82
274,DXC,ITA,0:49:56,49.93
275,INDIVIDUALE,ITA,0:50:17,50.28
276,INDIVIDUALE,ITA,0:50:17,50.28
277,INDIVIDUALE,ITA,0:50:17,50.28
278,INDIVIDUALE,ITA,0:50:17,50.28
279,INDIVIDUALE,PHI,0:50:19,50.32
280,INDIVIDUALE,ITA,0:50:20,50.33
281,INDIVIDUALE,ITA,0:50:30,50.5
282,INDIVIDUALE,ITA,0:50:30,50.5
283,INDIVIDUALE,ITA,0:50:38,50.63
284,DXC,ITA,0:51:00,51.0
285,DXC,ITA,0:51:00,51.0
286,INDIVIDUALE,ITA,0:51:07,51.12
287,INDIVIDUALE,ITA,0:51:12,51.2
288,INDIVIDUALE,ITA,0:51:13,51.22
289,INDIVIDUALE,ITA,0:51:28,51.47
290,INDIVIDUALE,ITA,0:51:29,51.48
291,INDIVIDUALE,ITA,0:51:29,51.48
292,INDIVIDUALE,ITA,0:51:33,51.55
293,INDIVIDUALE,ITA,0:51:54,51.9
294,INDIVIDUALE,ITA,0:51:54,51.9
295,INDIVIDUALE,ITA,0:51:57,51.95
296,INDIVIDUALE,ITA,0:51:58,51.97
297,INDIVIDUALE,ITA,0:52:14,52.23
298,INDIVIDUALE,ITA,0:52:21,52.35
299,PWC,ITA,0:52:44,52.73
300,PWC,ITA,0:52:45,52.75
301,INDIVIDUALE,ITA,0:52:45,52.75
302,INDIVIDUALE,ITA,0:53:06,53.1
303,INDIVIDUALE,ITA,0:53:06,53.1
304,INDIVIDUALE,ITA,0:53:12,53.2
305,INDIVIDUALE,ITA,0:53:13,53.22
306,INDIVIDUALE,ITA,0:53:13,53.22
307,INDIVIDUALE,ITA,0:53:14,53.23
308,INDIVIDUALE,ITA,0:53:30,53.5
309,INDIVIDUALE,ITA,0:53:35,53.58
310,PWC,ITA,0:53:56,53.93
311,INDIVIDUALE,ITA,0:54:39,54.65
312,SCARRYTEAM,ITA,0:54:39,54.65
313,INDIVIDUALE,ITA,0:54:40,54.67
314,INDIVIDUALE,ITA,0:54:40,54.67
315,DXC,ITA,0:54:46,54.77
316,DXC,ITA,0:54:47,54.78
317,DXC,ITA,0:54:49,54.82
318,DXC,ITA,0:54:49,54.82
319,INDIVIDUALE,ITA,0:55:00,55.0
320,INDIVIDUALE,ITA,0:55:17,55.28
321,INDIVIDUALE,ITA,0:55:17,55.28
322,PWC,ITA,0:56:02,56.03
323,PWC,ITA,0:56:05,56.08
324,PWC,ITA,0:56:05,56.08
325,INDIVIDUALE,ITA,0:56:22,56.37
326,INDIVIDUALE,ITA,0:56:22,56.37
327,PWC,ITA,0:56:30,56.5
328,PWC,ITA,0:56:31,56.52
329,PWC,ITA,0:56:31,56.52
330,INDIVIDUALE,ITA,0:56:36,56.6
331,DXC,ITA,0:56:38,56.63
332,DXC,ITA,0:56:38,56.63
333,INDIVIDUALE,ITA,0:56:39,56.65
334,INDIVIDUALE,ITA,0:56:41,56.68
335,INDIVIDUALE,ITA,0:56:42,56.7
336,INDIVIDUALE,ITA,0:56:43,56.72
337,INDIVIDUALE,ITA,0:57:16,57.27
338,GIURIWINX,ITA,0:57:22,57.37
339,INDIVIDUALE,ITA,0:59:19,59.32
340,INDIVIDUALE,ITA,0:59:48,59.8
341,GEOTEAM-U4,ITA,0:59:48,59.8
342,INDIVIDUALE,ITA,0:59:48,59.8
343,INDIVIDUALE,ITA,1:00:02,60.03
344,INDIVIDUALE,ITA,1:00:39,60.65
345,INDIVIDUALE,ITA,1:00:42,60.7
346,INDIVIDUALE,ITA,1:00:43,60.72
347,PWC,ITA,1:01:45,61.75
348,INDIVIDUALE,ITA,1:02:43,62.72
349,INDIVIDUALE,ITA,1:02:43,62.72
350,INDIVIDUALE,ITA,1:02:43,62.72
351,INDIVIDUALE,ITA,1:02:44,62.73
352,INDIVIDUALE,ITA,1:02:44,62.73
353,INDIVIDUALE,ITA,1:02:58,62.97
354,INDIVIDUALE,ITA,1:03:20,63.33
355,INDIVIDUALE,ITA,1:03:21,63.35
356,INDIVIDUALE,ITA,1:03:35,63.58
357,INDIVIDUALE,ITA,1:04:03,64.05
358,INDIVIDUALE,ITA,1:04:04,64.07
359,INDIVIDUALE,ITA,1:04:23,64.38
360,INDIVIDUALE,ITA,1:04:24,64.4
361,INDIVIDUALE,ITA,1:04:58,64.97
362,INDIVIDUALE,ITA,1:05:03,65.05
363,PWC,ITA,1:05:09,65.15
364,PWC,ITA,1:05:10,65.17
365,INDIVIDUALE,ITA,1:05:38,65.63
366,PWC,ITA,1:06:04,66.07
367,PWC,ITA,1:06:05,66.08
368,INDIVIDUALE,ITA,1:06:27,66.45
369,INDIVIDUALE,ITA,1:08:22,68.37
370,SCARRYTEAM,ITA,1:09:14,69.23
371,PWC,ITA,1:10:00,70.0
372,PWC,ITA,1:10:19,70.32
373,PWC,ITA,1:10:19,70.32
374,PWC,ITA,1:10:19,70.32
375,PWC,ITA,1:10:20,70.33
376,PWC,ITA,1:10:31,70.52
377,PWC,ITA,1:10:33,70.55
378,PWC,ITA,1:10:51,70.85
379,INDIVIDUALE,ITA,1:15:23,75.38
