position,team,nation,time,minutes
1,CUS PRO PATRIA TRIATHLON,ITA,0:24:42,24.7
2,INDIVIDUALE,ITA,0:28:32,28.53
3,INDIVIDUALE,ITA,0:29:23,29.38
4,INDIVIDUALE,ITA,0:31:46,31.77
5,INDIVIDUALE,ITA,0:32:37,32.62
6,INDIVIDUALE,ITA,0:34:43,34.72
7,INDIVIDUALE,ITA,0:35:45,35.75
8,CUS PRO PATRIA TRIATHLON,ITA,0:35:46,35.77
9,INDIVIDUALE,ITA,0:36:07,36.12
10,INDIVIDUALE,ITA,0:36:11,36.18
11,PWC TEAM,ITA,0:36:31,36.52
12,INDIVIDUALE,ITA,0:37:52,37.87
13,RUN CARD,ITA,0:38:05,38.08
14,INDIVIDUALE,ITA,0:38:05,38.08
15,INDIVIDUALE,PHI,0:38:37,38.62
16,INDIVIDUALE,ITA,0:38:46,38.77
17,INDIVIDUALE,ITA,0:38:59,38.98
18,SEZ. ATL. ORATORIO,ITA,0:39:27,39.45
19,DLL,ITA,0:40:12,40.2
20,PIASTRELLE & SKATE,ITA,0:40:14,40.23
21,CUS PRO PATRIA TRIATHLON,ITA,0:40:19,40.32
22,CUS PRO PATRIA TRIATHLON,ITA,0:40:22,40.37
23,CUS PRO PATRIA TRIATHLON,ITA,0:40:23,40.38
24,CUS PRO PATRIA TRIATHLON,ITA,0:40:23,40.38
25,INDIVIDUALE,ITA,0:40:38,40.63
26,PWC,ITA,0:40:42,40.7
27,INDIVIDUALE,ITA,0:40:42,40.7
28,CUS PRO PATRIA TRIATHLON,ITA,0:40:59,40.98
29,INDIVIDUALE,ITA,0:41:09,41.15
30,S. E. C. CIVATE,ITA,0:41:35,41.58
31,INDIVIDUALE,ESP,0:41:38,41.63
32,INDIVIDUALE,ITA,0:41:45,41.75
33,INDIVIDUALE,ITA,0:42:04,42.07
34,INDIVIDUALE,ITA,0:42:07,42.12
35,DLL,ITA,0:42:10,42.17
36,INDIVIDUALE,ITA,0:42:17,42.28
37,DLL,ITA,0:42:31,42.52
38,INDIVIDUALE,ITA,0:42:36,42.6
39,INDIVIDUALE,UKR,0:42:52,42.87
40,INDIVIDUALE,ITA,0:42:56,42.93
41,INDIVIDUALE,ITA,0:43:04,43.07
42,INDIVIDUALE,ITA,0:43:05,43.08
43,INDIVIDUALE,ITA,0:43:08,43.13
44,INDIVIDUALE,ITA,0:43:11,43.18
45,INDIVIDUALE,ITA,0:43:11,43.18
46,CUS PRO PATRIA TRIATHLON,ITA,0:43:11,43.18
47,INDIVIDUALE,ITA,0:43:15,43.25
48,LA MICHETTA,ITA,0:43:18,43.3
49,INDIVIDUALE,ITA,0:43:27,43.45
50,INDIVIDUALE,ITA,0:43:30,43.5
51,INDIVIDUALE,ITA,0:43:31,43.52
52,INDIVIDUALE,FRA,0:43:33,43.55
53,INDIVIDUALE,ITA,0:43:38,43.63
54,INDIVIDUALE,ITA,0:43:43,43.72
55,INDIVIDUALE,ITA,0:43:44,43.73
56,DISCEPOLI DEL MAESTRO,ITA,0:43:46,43.77
57,INDIVIDUALE,ITA,0:43:48,43.8
58,I FIGLI DI KMER,ITA,0:43:57,43.95
59,I FIGLI DI KMER,ITA,0:43:57,43.95
60,INDIVIDUALE,ITA,0:44:00,44.0
61,VILLADOSSOLA,ITA,0:44:01,44.02
62,INDIVIDUALE,ITA,0:44:02,44.03
63,INDIVIDUALE,ITA,0:44:08,44.13
64,INDIVIDUALE,ITA,0:44:13,44.22
65,INDIVIDUALE,ITA,0:44:16,44.27
66,INDIVIDUALE,ITA,0:44:19,44.32
67,INDIVIDUALE,ITA,0:44:26,44.43
68,INDIVIDUALE,ITA,0:44:29,44.48
69,INDIVIDUALE,ITA,0:44:31,44.52
70,INDIVIDUALE,ITA,0:44:36,44.6
71,INDIVIDUALE,ITA,0:44:39,44.65
72,DLL,ITA,0:44:41,44.68
73,INDIVIDUALE,ITA,0:44:41,44.68
74,DLL,ITA,0:44:46,44.77
75,INDIVIDUALE,ITA,0:44:46,44.77
76,CUS PRO PATRIA TRIATHLON,ITA,0:44:50,44.83
77,PWC,ITA,0:44:51,44.85
78,PWC,ITA,0:44:51,44.85
79,INDIVIDUALE,ITA,0:44:55,44.92
80,INDIVIDUALE,ITA,0:45:03,45.05
81,INDIVIDUALE,ITA,0:45:12,45.2
